"","user_id","aoa","frequency","word_type","word","correct","time"
"","102","late","high","word","frank","true","544"
"","98","early","high","word","newspaper","true","544"
"","113","late","high","word","text","true","544"
"","110","late","high","word","president","true","545"
"","110","early","high","word","sorry","true","549"
"","95","late","high","word","supposed","true","550"
"","113","early","low","non word","smuch","true","551"
"","113","late","low","non word","munspin","true","551"
"","113","early","high","non word","nemspipol","true","551"
"","113","early","high","word","close","true","552"
"","110","early","low","word","cartoon","true","552"
"","113","early","high","word","people","true","552"
"","95","late","high","non word","fornk","true","553"
"","113","early","high","non word","larc","true","553"
"","113","late","high","word","income","true","553"
"","103","early","low","word","bathtub","true","553"
"","98","early","low","non word","goobie","true","555"
"","95","late","high","word","degree","true","555"
"","112","late","high","word","text","true","555"
"","95","late","high","word","income","true","556"
"","119","late","high","non word","fex","true","558"
"","113","early","low","non word","panga","true","559"
"","113","late","low","word","disc","true","559"
"","113","early","low","word","fisherman","true","560"
"","113","early","low","non word","fealy","true","560"
"","102","early","high","word","those","true","560"
"","110","late","high","non word","lixt","true","562"
"","95","late","low","word","arousal","true","562"
"","110","late","high","non word","fex","false","564"
"","97","early","low","word","banana","true","564"
"","103","late","low","word","glare","true","564"
"","115","early","high","word","win","true","565"
"","111","late","high","word","student","true","566"
"","97","early","high","word","someone","true","566"
"","110","early","high","non word","lopy","false","566"
"","95","early","low","non word","kep","true","567"
"","113","early","low","non word","groid","true","568"
"","108","early","low","word","banana","true","568"
"","113","late","high","word","union","true","568"
"","110","early","high","word","shoulder","true","570"
"","111","late","high","non word","scoelis","true","570"
"","95","early","high","word","yes","true","570"
"","95","late","low","non word","unshon","true","571"
"","110","late","low","word","crypt","true","572"
"","115","early","low","word","pet","true","573"
"","111","early","high","non word","weatjor","true","574"
"","95","early","high","non word","steh","true","574"
"","113","early","high","word","dinner","true","575"
"","111","late","low","non word","boligranps","true","575"
"","102","late","high","word","degree","true","575"
"","113","early","high","word","page","true","577"
"","97","late","low","non word","unshon","true","579"
"","111","late","low","non word","ditra","true","580"
"","95","late","high","word","shall","true","580"
"","112","early","low","word","couch","true","580"
"","102","early","high","word","find","true","580"
"","95","late","high","non word","prowastor","true","581"
"","112","early","high","word","step","true","582"
"","115","early","high","word","land","true","583"
"","95","late","low","word","incept","true","583"
"","95","early","high","non word","ficht","true","583"
"","113","late","low","word","calligraphy","true","584"
"","113","late","low","non word","apsartee","true","584"
"","110","late","high","word","mass","true","585"
"","110","late","low","word","albatross","true","587"
"","112","late","low","word","glare","true","587"
"","111","early","high","word","yes","true","588"
"","97","early","high","non word","lopy","true","589"
"","115","early","high","word","someone","true","589"
"","119","late","high","word","damn","true","590"
"","103","late","high","word","degree","true","590"
"","111","early","high","word","house","true","590"
"","95","early","high","word","shoulder","true","591"
"","95","late","low","non word","monual","true","592"
"","98","early","low","word","bathtub","true","592"
"","110","early","low","non word","scrinch","true","592"
"","113","late","high","non word","scoelis","true","592"
"","113","early","low","non word","kniftang","true","592"
"","113","early","low","word","rhyme","true","592"
"","102","early","low","word","scratch","true","593"
"","112","early","high","word","brother","true","595"
"","95","early","high","non word","sameing","false","595"
"","102","early","high","word","march","true","595"
"","112","late","high","word","student","true","595"
"","103","late","low","word","saxophone","true","596"
"","95","early","low","non word","braibup","true","596"
"","115","early","low","word","cookie","true","596"
"","98","late","low","non word","drynd","true","597"
"","95","early","high","word","lady","true","597"
"","98","late","high","word","student","true","598"
"","119","late","high","word","secretary","true","598"
"","95","early","low","non word","cuch","true","598"
"","113","late","high","word","tax","true","600"
"","113","early","low","word","bathtub","true","600"
"","110","early","high","non word","gange","true","600"
"","102","late","high","word","secretary","true","601"
"","98","early","low","non word","rapple","false","603"
"","95","early","high","word","number","true","604"
"","103","early","high","word","someone","true","604"
"","95","late","high","non word","kax","true","604"
"","103","early","high","word","men","true","604"
"","111","late","low","word","arousal","true","604"
"","97","early","low","word","knitting","true","605"
"","97","early","high","word","breakfast","true","606"
"","110","late","low","non word","unshon","true","607"
"","98","late","high","word","tax","true","608"
"","113","late","low","word","soprano","false","609"
"","95","late","low","non word","apsartee","true","610"
"","119","late","high","word","income","true","610"
"","111","late","low","word","moleskin","true","611"
"","112","late","high","non word","taye","true","612"
"","111","early","low","word","peep","true","612"
"","95","late","low","word","cologne","true","612"
"","95","early","low","non word","rapple","true","612"
"","95","late","high","word","mass","true","614"
"","95","early","high","non word","breapfast","true","615"
"","113","late","low","non word","wonsh","true","616"
"","110","early","low","non word","kep","true","616"
"","113","late","high","non word","fornk","true","616"
"","112","late","high","word","industry","true","618"
"","103","early","high","word","win","true","618"
"","112","late","low","word","urn","true","618"
"","111","late","high","word","novel","true","618"
"","115","early","low","word","fairy","true","619"
"","98","late","high","word","union","true","620"
"","95","early","high","non word","morch","true","621"
"","110","late","high","word","novel","false","622"
"","115","early","high","word","dinner","true","623"
"","103","late","high","word","industry","true","623"
"","111","early","high","non word","fank","true","623"
"","113","late","low","non word","merpel","true","624"
"","111","early","low","non word","fincermil","true","624"
"","95","late","high","non word","narol","true","625"
"","97","late","high","word","science","true","626"
"","115","late","high","word","mass","true","628"
"","110","early","high","non word","ceasun","true","628"
"","115","early","high","word","page","true","629"
"","111","late","high","non word","fex","true","629"
"","115","late","high","word","text","true","629"
"","98","early","high","word","yes","true","630"
"","113","late","high","non word","shull","true","631"
"","103","late","low","word","marvel","true","631"
"","113","late","low","word","cologne","true","632"
"","103","early","low","word","rattle","true","632"
"","113","early","high","non word","brafter","true","632"
"","113","early","high","non word","toths","true","632"
"","112","late","low","non word","ardentoss","true","633"
"","108","late","high","word","secretary","true","633"
"","112","early","low","word","ouch","true","635"
"","97","late","low","word","welsh","true","636"
"","119","late","high","word","supposed","true","637"
"","110","late","high","word","student","true","637"
"","119","early","low","word","bathing","true","637"
"","111","late","low","word","urn","true","638"
"","113","early","high","word","yes","true","639"
"","113","early","low","word","rattle","true","639"
"","111","late","high","word","frank","true","639"
"","108","early","low","word","cookie","true","640"
"","98","late","high","non word","narol","true","640"
"","113","late","high","non word","prowastor","true","640"
"","105","early","low","word","bathtub","true","641"
"","111","early","low","non word","kep","true","642"
"","95","early","high","word","everything","true","642"
"","110","late","high","word","supposed","true","644"
"","111","late","high","non word","brean","false","644"
"","97","early","high","word","people","true","646"
"","97","late","high","word","means","true","647"
"","113","late","low","non word","ardentoss","true","648"
"","97","late","low","non word","gartate","true","649"
"","103","late","low","word","rogue","true","649"
"","119","early","high","word","those","true","649"
"","97","early","high","word","number","true","650"
"","108","late","high","word","degree","true","650"
"","102","late","low","non word","jone","true","651"
"","102","late","high","non word","foral","true","651"
"","112","late","high","word","means","true","651"
"","119","early","low","word","rattle","true","652"
"","110","early","low","word","vase","true","653"
"","98","late","low","word","rogue","true","653"
"","98","late","high","word","rate","true","653"
"","119","early","high","non word","meb","true","653"
"","97","early","low","word","berry","true","654"
"","111","early","low","word","fairy","true","654"
"","95","late","high","word","rate","true","655"
"","108","early","high","word","someone","true","655"
"","98","late","high","non word","kass","true","655"
"","113","early","low","word","berry","false","655"
"","113","early","low","non word","tandleshoop","true","655"
"","115","late","high","word","degree","true","656"
"","110","late","high","word","professor","true","656"
"","113","early","high","non word","avering","true","656"
"","102","early","low","word","fisherman","true","657"
"","113","late","low","non word","drynd","true","657"
"","119","early","low","word","fairy","true","657"
"","110","late","low","word","albatross","true","657"
"","119","late","high","word","means","true","657"
"","95","early","high","word","find","true","659"
"","110","early","high","word","those","true","659"
"","97","late","high","word","sex","true","659"
"","97","early","low","non word","sopsiple","true","659"
"","95","early","high","word","dinner","true","660"
"","119","early","high","word","land","true","660"
"","95","late","high","non word","scoelis","true","661"
"","110","late","low","non word","glafe","true","662"
"","110","early","low","non word","olf","true","662"
"","95","late","low","non word","nogue","true","663"
"","105","late","high","word","union","true","663"
"","95","late","low","non word","zae","true","663"
"","112","early","high","word","march","true","664"
"","108","early","high","word","everything","true","665"
"","105","early","low","word","banana","true","666"
"","111","early","high","word","page","true","667"
"","102","early","low","word","peep","true","667"
"","115","late","low","word","crypt","true","668"
"","111","early","low","non word","jusk","true","670"
"","95","late","high","non word","sentelory","true","670"
"","102","early","low","word","nap","true","671"
"","95","early","low","non word","kniftang","true","671"
"","113","late","low","non word","urb","true","672"
"","113","late","high","word","industry","true","672"
"","95","late","low","non word","lortano","true","673"
"","95","late","high","non word","imtresty","true","674"
"","108","early","high","word","dinner","true","674"
"","112","late","low","non word","aromaple","true","674"
"","98","early","high","word","house","true","675"
"","110","early","high","word","people","true","675"
"","95","late","high","word","damn","true","675"
"","115","early","low","word","cartoon","true","676"
"","112","early","high","word","everything","true","677"
"","103","late","high","word","damn","true","677"
"","112","late","high","word","frank","true","677"
"","98","late","low","non word","boligranps","true","678"
"","110","early","high","non word","brafter","true","678"
"","119","early","high","word","newspaper","true","679"
"","110","late","high","word","income","true","679"
"","98","early","low","word","nap","true","679"
"","112","late","high","word","sex","true","680"
"","111","late","high","word","secretary","true","681"
"","98","early","high","word","number","true","681"
"","113","late","high","word","supposed","true","681"
"","95","early","low","word","hush","true","682"
"","110","early","high","word","close","true","682"
"","112","late","low","word","delta","true","682"
"","97","late","high","non word","fornk","true","682"
"","105","early","low","word","bathing","true","684"
"","110","early","low","word","couch","false","684"
"","110","early","high","non word","weatjor","true","685"
"","112","late","low","word","arousal","true","686"
"","108","early","low","word","nap","true","686"
"","111","late","low","word","permeable","true","686"
"","95","early","high","non word","brafter","true","687"
"","113","late","low","word","gestate","true","688"
"","102","late","low","word","albatross","true","688"
"","113","late","low","word","tine","false","688"
"","102","early","low","word","couch","true","688"
"","113","late","high","non word","taye","true","688"
"","119","early","high","word","fight","true","688"
"","97","late","high","non word","lixt","true","689"
"","119","late","high","non word","narol","true","689"
"","110","early","low","word","rhyme","true","689"
"","95","early","high","non word","wim","true","690"
"","95","early","low","word","bathing","true","690"
"","108","early","low","word","bathing","true","690"
"","103","early","low","word","knitting","true","691"
"","95","early","low","word","banana","true","693"
"","103","late","high","word","against","true","693"
"","103","late","high","word","shall","true","694"
"","110","early","low","non word","groid","true","696"
"","105","late","high","word","moral","true","696"
"","115","late","high","word","rate","true","696"
"","98","late","low","word","urchin","true","698"
"","98","late","low","non word","ditra","true","698"
"","105","late","high","word","income","true","699"
"","112","early","high","word","someone","true","699"
"","97","early","high","non word","weatjor","true","699"
"","103","early","low","word","crayon","true","700"
"","119","early","high","word","step","true","700"
"","112","early","high","non word","weatjor","true","701"
"","98","late","high","word","frank","true","702"
"","95","early","low","word","vase","true","703"
"","97","late","low","word","cologne","true","704"
"","113","early","high","non word","fank","true","704"
"","98","early","high","word","people","true","704"
"","97","early","low","word","elf","true","705"
"","115","late","low","word","rogue","true","706"
"","108","late","high","word","novel","true","706"
"","103","early","low","word","ouch","true","706"
"","110","early","high","non word","munse","true","706"
"","118","late","low","word","menial","true","706"
"","110","late","high","non word","kax","true","708"
"","118","late","high","word","union","true","709"
"","98","early","low","word","rhyme","true","710"
"","95","early","high","non word","gange","true","711"
"","113","late","low","word","esquire","false","711"
"","110","late","low","word","cologne","true","712"
"","113","early","low","non word","olf","true","712"
"","110","early","high","word","sorry","true","713"
"","110","late","high","non word","lixt","true","714"
"","98","early","high","word","breakfast","true","715"
"","110","late","low","non word","aromaple","true","715"
"","112","early","low","word","rhyme","true","716"
"","111","early","low","word","ouch","true","717"
"","110","early","low","non word","belky","true","717"
"","118","early","low","word","cartoon","true","717"
"","119","early","low","word","bathtub","true","718"
"","103","early","high","word","weather","true","718"
"","105","early","high","word","people","true","718"
"","95","late","low","word","gush","false","718"
"","111","late","low","non word","merpel","true","718"
"","105","early","high","non word","ficht","true","719"
"","98","early","high","non word","morch","true","719"
"","118","early","high","word","find","true","719"
"","111","late","high","non word","urian","true","720"
"","112","late","low","non word","nogue","true","720"
"","105","late","low","word","moleskin","true","720"
"","97","late","high","word","shall","true","721"
"","112","late","low","non word","zae","true","721"
"","97","early","low","non word","cuch","true","721"
"","103","late","low","word","arousal","true","722"
"","97","late","low","non word","apropal","true","722"
"","119","late","low","non word","wonsh","true","723"
"","108","early","low","word","scratch","true","725"
"","119","late","low","non word","lortano","true","725"
"","111","late","low","word","urchin","true","726"
"","105","early","high","word","find","true","726"
"","110","late","high","word","degree","true","727"
"","118","early","low","word","smash","true","727"
"","103","late","high","word","president","true","727"
"","113","late","high","non word","fex","true","727"
"","98","late","high","word","degree","true","727"
"","110","late","high","word","mass","false","729"
"","110","early","low","word","cartoon","true","730"
"","98","late","low","non word","zae","true","730"
"","119","early","high","word","house","true","730"
"","108","late","high","word","industry","true","731"
"","119","early","low","word","berry","true","731"
"","118","late","high","word","shall","true","733"
"","110","late","low","non word","ament","true","734"
"","98","early","low","word","crayon","true","734"
"","97","early","high","non word","shoalper","true","734"
"","119","early","low","word","cartoon","true","735"
"","105","early","high","word","shoulder","true","735"
"","98","early","low","word","ouch","true","735"
"","110","late","high","non word","imtresty","true","735"
"","98","early","low","non word","neep","true","735"
"","105","late","high","word","against","true","736"
"","95","late","low","non word","jone","true","737"
"","102","late","high","non word","kax","true","741"
"","118","early","low","word","crayon","true","742"
"","112","late","high","non word","scoelis","true","744"
"","105","early","high","word","breakfast","true","745"
"","108","early","high","word","find","true","746"
"","115","late","high","word","industry","true","746"
"","102","early","low","word","smash","true","747"
"","98","early","high","non word","lopy","true","748"
"","118","late","low","non word","glafe","true","748"
"","95","early","low","word","peep","true","748"
"","95","early","low","non word","smuch","true","749"
"","102","early","low","word","greed","true","749"
"","105","early","low","word","peep","true","749"
"","118","early","high","word","those","true","749"
"","98","late","high","word","supposed","true","750"
"","111","early","low","non word","coreon","true","750"
"","113","early","high","non word","smury","true","752"
"","118","late","high","word","president","true","753"
"","118","early","high","word","someone","true","753"
"","95","early","low","word","couch","true","754"
"","97","late","low","word","calligraphy","true","754"
"","112","early","high","word","yes","true","754"
"","111","late","high","word","damn","false","754"
"","103","late","low","non word","jone","true","755"
"","118","late","low","word","disc","true","756"
"","110","early","high","non word","wim","true","758"
"","118","early","low","word","satchel ","true","758"
"","105","early","high","non word","toths","true","758"
"","98","early","high","non word","brafter","true","758"
"","103","late","low","word","soprano","true","759"
"","111","early","low","non word","braibup","true","760"
"","98","early","low","non word","zave","true","760"
"","118","late","low","word","urn","true","760"
"","110","late","high","word","degree","true","761"
"","111","early","low","non word","rhoin","true","761"
"","118","early","low","non word","neep","true","761"
"","98","early","high","non word","pake","true","762"
"","97","late","low","non word","nogue","true","762"
"","118","late","low","word","crypt","true","763"
"","118","late","low","word","marvel","true","763"
"","118","early","low","non word","tandleshoop","true","764"
"","112","early","low","non word","kniftang","true","764"
"","108","late","low","word","gestate","true","765"
"","118","early","high","word","lady","true","768"
"","105","late","high","word","degree","true","768"
"","105","late","high","word","sex","true","770"
"","110","late","high","non word","drim","true","771"
"","105","early","high","word","page","true","771"
"","118","early","low","non word","rhoin","true","771"
"","118","late","low","non word","zae","true","771"
"","118","early","high","non word","steh","true","771"
"","119","late","high","word","moral","true","772"
"","97","early","high","non word","brafter","true","772"
"","118","early","low","non word","braibup","true","772"
"","112","late","low","word","crucifix","true","772"
"","119","early","low","word","ouch","true","773"
"","112","early","low","non word","braibup","true","773"
"","118","early","high","non word","smury","true","774"
"","118","early","low","word","hush","true","775"
"","98","early","low","non word","funch","true","775"
"","119","early","high","word","number","true","776"
"","105","early","low","word","rhyme","true","776"
"","102","early","high","non word","weatjor","true","776"
"","98","early","low","non word","belky","true","776"
"","112","late","high","non word","plesidart","true","776"
"","119","late","low","non word","unshon","true","776"
"","110","late","high","word","against","true","777"
"","110","late","low","non word","apropal","true","777"
"","105","early","high","word","yes","true","778"
"","119","early","low","non word","smuch","true","779"
"","102","early","low","word","satchel ","true","780"
"","95","late","low","word","welsh","true","780"
"","105","early","high","word","change","true","781"
"","110","late","low","non word","jone","true","782"
"","111","early","low","word","elf","true","783"
"","97","early","low","non word","jusk","true","784"
"","118","late","low","word","crucifix","true","784"
"","98","early","high","word","land","true","785"
"","118","late","high","word","damn","true","786"
"","105","late","low","word","delta","false","786"
"","102","late","high","non word","kass","true","786"
"","118","early","high","non word","gange","true","786"
"","118","late","high","non word","kax","true","787"
"","112","early","low","word","popsicle","true","787"
"","98","late","low","word","advisee","true","787"
"","118","late","high","non word","brean","true","788"
"","118","late","high","non word","imtresty","true","788"
"","110","early","low","word","nap","true","788"
"","102","late","low","word","urn","true","788"
"","115","early","low","word","couch","true","789"
"","118","early","high","word","yes","true","789"
"","108","late","high","word","science","true","791"
"","108","early","high","word","lady","true","791"
"","118","early","low","non word","kniftang","true","793"
"","97","early","low","word","bathing","true","794"
"","118","early","low","word","pet","true","794"
"","95","late","low","non word","aromaple","false","795"
"","112","early","low","word","elf","true","795"
"","119","early","low","non word","goobie","true","795"
"","115","early","low","word","berry","true","796"
"","118","early","low","non word","cuch","true","797"
"","97","early","high","word","land","true","799"
"","119","late","high","non word","shull","true","800"
"","110","early","low","word","hush","true","802"
"","108","late","high","word","rate","true","802"
"","97","late","low","word","menial","true","802"
"","110","early","high","non word","sameing","true","803"
"","98","late","low","word","soprano","true","803"
"","110","early","low","non word","olf","true","803"
"","110","early","low","non word","sopsiple","true","804"
"","118","early","low","word","couch","true","804"
"","111","late","low","non word","ardentoss","true","804"
"","111","early","high","non word","brafter","true","805"
"","111","late","low","word","crucifix","false","805"
"","110","late","high","word","president","true","805"
"","98","late","low","word","menial","true","807"
"","115","late","high","word","supposed","true","807"
"","119","late","low","non word","umquire","true","807"
"","118","early","high","word","everything","true","808"
"","98","late","high","non word","lixt","true","809"
"","110","late","low","non word","lortano","true","809"
"","118","early","high","word","cousin","true","809"
"","105","late","low","word","marvel","true","809"
"","118","late","high","word","mass","true","809"
"","97","late","low","non word","urb","true","810"
"","110","late","low","word","calligraphy","true","810"
"","105","early","high","word","someone","true","811"
"","112","early","high","non word","munse","true","811"
"","98","early","low","non word","fincermil","true","813"
"","97","late","high","non word","foral","false","813"
"","118","late","high","word","professor","true","814"
"","108","early","high","word","cousin","true","816"
"","98","early","low","non word","sopsiple","true","816"
"","105","late","low","word","incept","false","817"
"","102","early","low","non word","kep","true","817"
"","112","early","high","non word","gange","true","818"
"","112","late","high","non word","shull","true","819"
"","118","early","high","word","march","true","819"
"","102","early","low","non word","jusk","true","819"
"","118","late","low","non word","apropal","true","820"
"","102","late","high","non word","inkore","true","820"
"","98","late","high","non word","sentelory","true","820"
"","110","late","high","word","rate","true","821"
"","118","late","low","non word","munspin","true","822"
"","108","early","low","non word","rhoin","true","822"
"","118","early","low","non word","belky","true","824"
"","119","late","low","non word","gartate","true","824"
"","110","late","high","non word","urian","true","824"
"","110","early","high","non word","peadre","true","825"
"","110","early","low","word","hush","true","825"
"","112","late","high","word","professor","true","826"
"","105","early","high","non word","lopy","true","826"
"","111","late","low","non word","glafe","true","826"
"","97","late","low","word","gush","true","827"
"","118","early","high","non word","brafter","true","827"
"","111","late","low","non word","jush","true","827"
"","118","late","low","word","gestate","true","828"
"","105","late","high","non word","fornk","true","828"
"","111","early","high","non word","nemspipol","true","829"
"","115","late","low","word","soprano","true","831"
"","119","late","high","non word","kass","true","831"
"","118","early","low","non word","scrinch","true","831"
"","103","late","high","non word","fornk","true","832"
"","105","late","high","non word","lixt","true","832"
"","105","early","high","non word","chure","true","832"
"","105","early","high","non word","nemspipol","true","834"
"","119","early","low","non word","funch","true","834"
"","111","early","high","non word","meb","true","834"
"","118","early","high","non word","pake","true","836"
"","118","late","high","non word","lixt","true","836"
"","119","late","high","non word","lixt","true","836"
"","119","early","high","non word","peadre","true","836"
"","118","late","low","non word","calarche","true","837"
"","119","early","high","non word","linner","true","837"
"","113","late","low","non word","ament","true","840"
"","111","late","low","word","tine","false","842"
"","98","late","low","word","albatross","true","843"
"","97","early","low","word","smash","true","844"
"","105","late","low","word","calligraphy","true","846"
"","111","late","low","non word","ament","true","846"
"","110","early","low","non word","braibup","true","847"
"","102","early","low","non word","goobie","true","849"
"","103","late","high","non word","taye","true","850"
"","102","early","low","non word","panga","true","850"
"","118","late","high","non word","fornk","true","855"
"","103","early","high","word","land","true","856"
"","119","early","high","non word","fank","true","859"
"","118","late","low","non word","lortano","true","859"
"","119","late","high","non word","plesidart","true","859"
"","105","late","high","word","secretary","true","860"
"","97","early","low","word","greed","true","860"
"","111","early","high","non word","shoalper","true","862"
"","102","late","high","word","damn","true","862"
"","97","late","high","non word","sentelory","true","863"
"","118","late","low","word","permeable","true","863"
"","105","early","low","word","vase","true","864"
"","98","early","low","word","cartoon","true","865"
"","118","late","high","word","supposed","true","865"
"","103","early","low","non word","senchel","true","865"
"","112","early","low","non word","coreon","true","869"
"","97","late","high","non word","urian","true","869"
"","103","late","low","non word","unshon","true","870"
"","113","early","high","non word","lopy","true","871"
"","112","late","high","non word","lergee","true","871"
"","119","late","low","word","urn","true","871"
"","115","late","low","non word","zae","true","871"
"","118","late","high","non word","lergee","true","872"
"","102","early","high","non word","peadre","true","873"
"","105","late","low","non word","unshon","true","873"
"","115","early","low","non word","rhoin","true","876"
"","102","late","high","non word","taye","true","878"
"","105","late","low","non word","urb","false","878"
"","98","late","low","non word","wonsh","true","879"
"","98","early","high","non word","chure","true","879"
"","113","early","high","word","weather","true","880"
"","110","early","low","word","couch","true","882"
"","108","late","high","non word","kass","true","882"
"","110","early","high","word","someone","true","883"
"","112","early","high","non word","meb","true","885"
"","115","late","high","word","means","true","885"
"","102","early","low","non word","pratoon","true","888"
"","105","late","high","word","science","true","891"
"","108","late","low","word","saxophone","true","892"
"","108","late","high","word","shall","true","892"
"","103","early","low","word","hush","true","896"
"","111","late","high","non word","shull","true","898"
"","103","early","low","non word","neep","true","899"
"","98","early","high","word","step","true","902"
"","108","late","low","word","cologne","true","902"
"","103","early","high","non word","shoalper","true","904"
"","102","early","high","word","men","true","904"
"","105","early","low","word","satchel ","true","904"
"","118","early","low","word","rattle","true","905"
"","112","early","low","word","peep","true","905"
"","105","early","low","non word","fealy","true","905"
"","118","late","high","non word","sentelory","true","907"
"","115","late","low","word","esquire","true","907"
"","115","early","low","non word","cuch","true","908"
"","103","late","high","non word","sprosent","true","908"
"","102","early","high","word","lady","true","909"
"","97","late","low","word","crucifix","true","910"
"","102","late","low","non word","apsartee","true","911"
"","113","early","high","word","cousin","true","912"
"","98","early","low","word","elf","true","912"
"","111","late","high","non word","kax","true","914"
"","103","late","high","non word","brean","true","915"
"","95","early","low","word","elf","true","917"
"","105","late","high","non word","kass","true","918"
"","119","late","low","non word","glafe","true","922"
"","118","late","high","word","novel","true","925"
"","115","early","low","word","scratch","true","926"
"","108","late","low","word","esquire","true","928"
"","119","late","low","word","arousal","true","928"
"","110","early","high","non word","linner","true","930"
"","115","early","low","non word","braibup","true","930"
"","119","late","high","word","industry","true","931"
"","105","late","low","non word","monual","true","932"
"","108","early","low","word","satchel ","true","932"
"","105","late","low","non word","nogue","true","934"
"","97","late","high","word","industry","true","935"
"","118","late","high","non word","fex","true","936"
"","115","late","low","word","tine","true","938"
"","118","late","low","non word","unshon","true","938"
"","105","late","low","word","soprano","true","940"
"","102","early","high","non word","ficht","true","940"
"","98","late","low","word","esquire","true","943"
"","103","late","low","non word","jush","true","948"
"","112","early","high","non word","larc","true","948"
"","110","late","low","word","crypt","true","949"
"","103","early","low","non word","panga","true","951"
"","102","early","high","non word","larc","true","951"
"","103","late","low","non word","gartate","true","952"
"","97","late","high","non word","sprosent","true","952"
"","108","late","high","word","damn","true","957"
"","110","early","high","non word","steh","true","960"
"","112","late","low","word","esquire","true","961"
"","105","early","low","non word","fincermil","true","961"
"","112","early","high","non word","munger","true","962"
"","108","late","high","non word","fex","true","967"
"","119","early","low","non word","olf","true","967"
"","108","early","low","word","fairy","true","968"
"","119","early","high","non word","wim","true","969"
"","102","late","low","non word","zae","true","969"
"","110","early","high","non word","breapfast","true","970"
"","95","late","low","word","moleskin","true","970"
"","119","late","low","non word","monual","true","972"
"","103","late","low","word","urn","true","973"
"","119","late","low","non word","lisc","true","974"
"","110","late","low","word","menial","true","975"
"","97","late","low","non word","jone","true","977"
"","103","late","low","word","moleskin","true","981"
"","97","late","high","non word","staldant","true","983"
"","115","late","high","non word","inkore","true","987"
"","97","early","high","non word","nemspipol","true","987"
"","119","late","low","word","albatross","true","988"
"","110","early","high","word","page","true","989"
"","115","early","low","non word","senchel","true","991"
"","113","late","high","non word","foral","true","992"
"","105","late","low","word","cologne","true","993"
"","108","late","low","word","permeable","true","993"
"","118","early","high","non word","peadre","true","994"
"","115","late","low","word","advisee","true","996"
"","115","late","low","non word","monual","false","997"
"","115","late","low","non word","jush","true","999"
"","112","late","low","non word","wonsh","true","1000"
"","103","late","high","word","mass","true","1003"
"","115","early","high","non word","smury","true","1004"
"","97","late","high","non word","plesidart","true","1005"
"","95","early","low","non word","senchel","true","1006"
"","103","early","low","non word","zave","true","1009"
"","102","early","low","non word","rhoin","true","1009"
"","115","early","low","non word","kniftang","true","1009"
"","105","early","low","non word","scrinch","true","1010"
"","103","early","low","word","fairy","true","1010"
"","112","late","low","non word","ament","true","1014"
"","119","early","high","word","cousin","true","1015"
"","112","late","high","word","against","true","1017"
"","98","late","high","non word","prowastor","true","1022"
"","102","early","low","non word","coreon","true","1022"
"","95","late","high","non word","foral","true","1024"
"","115","late","low","non word","wonsh","true","1026"
"","102","early","high","non word","nemspipol","true","1028"
"","115","early","high","non word","lopy","true","1029"
"","111","early","low","non word","goobie","true","1029"
"","108","early","high","word","breakfast","true","1034"
"","97","late","low","non word","saxintome","true","1036"
"","111","early","low","non word","rapple","true","1038"
"","108","early","low","non word","pratoon","true","1038"
"","119","early","low","non word","sopsiple","true","1040"
"","113","late","low","word","menial","false","1040"
